,20260319_0531_ES_daily_RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,20260319_0531_ES_daily_RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0
20260319_0531_ES_daily_RefinedMR_HB5_ATR0.4_DIST1.2_MOM0,1.0,0.051152960884141806
20260319_0531_ES_daily_RefinedBreakout_HB5_ATR0.5_COMP0.9_MOM0,0.051152960884141806,1.0
