strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboBreakout_RangeBreakout_BreakoutRetest_PriorRangePosition_BreakoutDistance,4,"RangeBreakoutFilter,BreakoutRetestFilter,PriorRangePositionFilter,BreakoutDistanceFilter","RangeBreakoutFilter,BreakoutRetestFilter,PriorRangePositionFilter,BreakoutDistanceFilter",395,21.7,True,-48793.0,0.91,-123.53,219,176,0.96,0.88,23,0.44,MARGINAL_BORDERLINE,0.4964,0.4737,3,MIXED,"[<class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.BreakoutRetestFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.BreakoutDistanceFilter'>]"
ComboBreakout_RangeBreakout_BreakoutCloseStrength_RisingBase,3,"RangeBreakoutFilter,BreakoutCloseStrengthFilter,RisingBaseFilter","RangeBreakoutFilter,BreakoutCloseStrengthFilter,RisingBaseFilter",301,16.53,True,-49194.5,0.88,-163.44,174,127,1.01,0.77,20,0.32,MARGINAL_BORDERLINE,0.4636,0.5,3,MIXED,"[<class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
ComboBreakout_BreakoutRetest_BreakoutCloseStrength_RisingBase,3,"BreakoutRetestFilter,BreakoutCloseStrengthFilter,RisingBaseFilter","BreakoutRetestFilter,BreakoutCloseStrengthFilter,RisingBaseFilter",301,16.53,True,-49194.5,0.88,-163.44,174,127,1.01,0.77,20,0.32,MARGINAL_BORDERLINE,0.4636,0.5,3,MIXED,"[<class 'modules.filters.BreakoutRetestFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
ComboBreakout_RangeBreakout_BreakoutRetest_BreakoutCloseStrength_RisingBase,4,"RangeBreakoutFilter,BreakoutRetestFilter,BreakoutCloseStrengthFilter,RisingBaseFilter","RangeBreakoutFilter,BreakoutRetestFilter,BreakoutCloseStrengthFilter,RisingBaseFilter",301,16.53,True,-49194.5,0.88,-163.44,174,127,1.01,0.77,20,0.32,MARGINAL_BORDERLINE,0.4636,0.5,3,MIXED,"[<class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.BreakoutRetestFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
ComboBreakout_RangeBreakout_ExpansionBar_BreakoutTrend,3,"RangeBreakoutFilter,ExpansionBarFilter,BreakoutTrendFilter","RangeBreakoutFilter,ExpansionBarFilter,BreakoutTrendFilter",181,9.94,True,-49827.0,0.79,-275.29,103,78,0.99,0.63,8,0.09,MARGINAL_BORDERLINE,0.4064,0.5,3,MIXED,"[<class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutTrendFilter'>]"
ComboBreakout_ExpansionBar_BreakoutRetest_BreakoutTrend,3,"ExpansionBarFilter,BreakoutRetestFilter,BreakoutTrendFilter","ExpansionBarFilter,BreakoutRetestFilter,BreakoutTrendFilter",181,9.94,True,-49827.0,0.79,-275.29,103,78,0.99,0.63,8,0.09,MARGINAL_BORDERLINE,0.4064,0.5,3,MIXED,"[<class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutRetestFilter'>, <class 'modules.filters.BreakoutTrendFilter'>]"
ComboBreakout_RangeBreakout_ExpansionBar_BreakoutRetest_BreakoutTrend,4,"RangeBreakoutFilter,ExpansionBarFilter,BreakoutRetestFilter,BreakoutTrendFilter","RangeBreakoutFilter,ExpansionBarFilter,BreakoutRetestFilter,BreakoutTrendFilter",181,9.94,True,-49827.0,0.79,-275.29,103,78,0.99,0.63,8,0.09,MARGINAL_BORDERLINE,0.4064,0.5,3,MIXED,"[<class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.ExpansionBarFilter'>, <class 'modules.filters.BreakoutRetestFilter'>, <class 'modules.filters.BreakoutTrendFilter'>]"
ComboBreakout_RangeBreakout_BreakoutCloseStrength_PriorRangePosition_RisingBase,4,"RangeBreakoutFilter,BreakoutCloseStrengthFilter,PriorRangePositionFilter,RisingBaseFilter","RangeBreakoutFilter,BreakoutCloseStrengthFilter,PriorRangePositionFilter,RisingBaseFilter",287,15.76,True,-49844.5,0.88,-173.67,166,121,1.03,0.75,19,0.34,MARGINAL_BORDERLINE,0.4716,0.5556,2,MIXED,"[<class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
ComboBreakout_BreakoutRetest_BreakoutCloseStrength_PriorRangePosition_RisingBase,4,"BreakoutRetestFilter,BreakoutCloseStrengthFilter,PriorRangePositionFilter,RisingBaseFilter","BreakoutRetestFilter,BreakoutCloseStrengthFilter,PriorRangePositionFilter,RisingBaseFilter",287,15.76,True,-49844.5,0.88,-173.67,166,121,1.03,0.75,19,0.34,MARGINAL_BORDERLINE,0.4716,0.5556,2,MIXED,"[<class 'modules.filters.BreakoutRetestFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
ComboBreakout_RangeBreakout_BreakoutRetest_BreakoutCloseStrength_PriorRangePosition_RisingBase,5,"RangeBreakoutFilter,BreakoutRetestFilter,BreakoutCloseStrengthFilter,PriorRangePositionFilter,RisingBaseFilter","RangeBreakoutFilter,BreakoutRetestFilter,BreakoutCloseStrengthFilter,PriorRangePositionFilter,RisingBaseFilter",287,15.76,True,-49844.5,0.88,-173.67,166,121,1.03,0.75,19,0.34,MARGINAL_BORDERLINE,0.4716,0.5556,2,MIXED,"[<class 'modules.filters.RangeBreakoutFilter'>, <class 'modules.filters.BreakoutRetestFilter'>, <class 'modules.filters.BreakoutCloseStrengthFilter'>, <class 'modules.filters.PriorRangePositionFilter'>, <class 'modules.filters.RisingBaseFilter'>]"
