strategy_name,filter_count,filters,filter_class_names,total_trades,trades_per_year,passes_trade_filter,net_pnl,profit_factor,average_trade,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,filter_classes
ComboTrend_Pullback_Momentum_UpClose_TrendSlope,4,"PullbackFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter",165,9.06,True,107770.0,1.41,653.15,96,69,0.85,1.98,9,4.12,REGIME_DEPENDENT,0.6365,0.4737,3,MIXED,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_Momentum_UpClose_HigherLow,4,"PullbackFilter,MomentumFilter,UpCloseFilter,HigherLowFilter","PullbackFilter,MomentumFilter,UpCloseFilter,HigherLowFilter",372,20.43,True,76739.0,1.11,206.29,222,150,1.0,1.23,16,1.74,REGIME_DEPENDENT,0.631,0.5789,2,MIXED,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.UpCloseFilter'>, <class 'modules.filters.HigherLowFilter'>]"
ComboTrend_TrendDirection_RecoveryTrigger_TrendSlope_CloseAboveFastSMA,4,"TrendDirectionFilter,RecoveryTriggerFilter,TrendSlopeFilter,CloseAboveFastSMAFilter","TrendDirectionFilter,RecoveryTriggerFilter,TrendSlopeFilter,CloseAboveFastSMAFilter",564,30.98,True,23187.5,1.02,41.11,281,283,0.98,1.04,51,0.96,MARGINAL_BORDERLINE,0.5726,0.5263,2,MIXED,"[<class 'modules.filters.TrendDirectionFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.TrendSlopeFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
ComboTrend_TrendDirection_Pullback_Volatility_Momentum,4,"TrendDirectionFilter,PullbackFilter,VolatilityFilter,MomentumFilter","TrendDirectionFilter,PullbackFilter,VolatilityFilter,MomentumFilter",223,12.25,True,110130.5,1.28,493.86,130,93,0.85,1.67,16,1.89,REGIME_DEPENDENT,0.6045,0.5789,2,MIXED,"[<class 'modules.filters.TrendDirectionFilter'>, <class 'modules.filters.PullbackFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.MomentumFilter'>]"
ComboTrend_TrendDirection_Pullback_RecoveryTrigger_TwoBarUp_HigherLow,5,"TrendDirectionFilter,PullbackFilter,RecoveryTriggerFilter,TwoBarUpFilter,HigherLowFilter","TrendDirectionFilter,PullbackFilter,RecoveryTriggerFilter,TwoBarUpFilter,HigherLowFilter",79,4.34,True,94313.0,1.7,1193.84,46,33,1.01,2.42,6,0.86,STABLE_BORDERLINE,0.5444,0.4737,4,MIXED,"[<class 'modules.filters.TrendDirectionFilter'>, <class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.HigherLowFilter'>]"
ComboTrend_TrendDirection_Pullback_RecoveryTrigger_Volatility_TwoBarUp_HigherLow,6,"TrendDirectionFilter,PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,TwoBarUpFilter,HigherLowFilter","TrendDirectionFilter,PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,TwoBarUpFilter,HigherLowFilter",71,3.9,True,89509.5,1.74,1260.7,40,31,1.12,2.34,6,0.86,STABLE_BORDERLINE,0.5531,0.4211,4,MIXED,"[<class 'modules.filters.TrendDirectionFilter'>, <class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.TwoBarUpFilter'>, <class 'modules.filters.HigherLowFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Volatility_TrendSlope,4,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,TrendSlopeFilter",136,7.47,True,87839.5,1.37,645.88,81,55,1.31,1.42,12,1.19,ROBUST,0.6435,0.5789,2,MIXED,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.VolatilityFilter'>, <class 'modules.filters.TrendSlopeFilter'>]"
ComboTrend_Pullback_RecoveryTrigger_Momentum_CloseAboveFastSMA,4,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,CloseAboveFastSMAFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,CloseAboveFastSMAFilter",349,19.17,True,99366.5,1.18,284.72,214,135,0.89,1.49,17,1.23,REGIME_DEPENDENT,0.5618,0.5263,2,MIXED,"[<class 'modules.filters.PullbackFilter'>, <class 'modules.filters.RecoveryTriggerFilter'>, <class 'modules.filters.MomentumFilter'>, <class 'modules.filters.CloseAboveFastSMAFilter'>]"
