strategy_type,dataset,promotion_status,promoted_candidates,leader_source,leader_strategy_name,accepted_final,quality_flag,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,leader_pf,leader_avg_trade,leader_net_pnl,leader_trades,leader_hold_bars,leader_stop_distance_points,leader_min_avg_range,leader_momentum_lookback,best_combo_strategy_name,best_combo_filters,best_combo_filter_class_names,best_refined_strategy_name
mean_reversion,ES_30m_2008_2026_tradestation.csv,PROMOTED,13,refined,RefinedMR_HB20_ATR0.4_DIST1.4_MOM0,True,ROBUST,71,55,2.4,1.94,15,3.13,2.11,3064.52,386129.0,126,20,0.4,1.4,0,ComboMR_DistanceBelowSMA_TwoBarDown_ReversalUpBar,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter","DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",RefinedMR_HB20_ATR0.4_DIST1.4_MOM0
trend,ES_30m_2008_2026_tradestation.csv,PROMOTED,7,refined,RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,True,REGIME_DEPENDENT,386,312,0.68,1.52,53,2.01,1.19,161.36,112627.0,698,24,1.25,0.8,20,ComboTrend_Pullback_RecoveryTrigger_Volatility_Momentum_TwoBarUp_TrendSlope,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20
breakout,ES_30m_2008_2026_tradestation.csv,PROMOTED,8,refined,RefinedBreakout_HB6_ATR0.5_COMP0.8_MOM0,True,REGIME_DEPENDENT,96,113,0.98,1.23,21,1.53,1.15,218.42,45650.0,209,6,0.5,0.8,0,ComboBreakout_Compression_RangeBreakout_ExpansionBar_BreakoutTrend_TightRange,"CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutTrendFilter,TightRangeFilter","CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutTrendFilter,TightRangeFilter",RefinedBreakout_HB6_ATR0.5_COMP0.8_MOM0
