strategy_type,dataset,rows,start,end,sanity_strategy_name,sanity_total_trades,total_combinations,promoted_candidates,promotion_status,best_combo_strategy_name,best_combo_profit_factor,best_combo_average_trade,best_combo_net_pnl,best_combo_total_trades,best_combo_filters,best_combo_filter_class_names,best_combo_is_trades,best_combo_oos_trades,best_combo_is_pf,best_combo_oos_pf,best_combo_recent_12m_trades,best_combo_recent_12m_pf,best_combo_quality_flag,refinement_ran,accepted_refinement_rows,best_refined_strategy_name,best_refined_profit_factor,best_refined_average_trade,best_refined_net_pnl,best_refined_total_trades,best_refined_hold_bars,best_refined_stop_distance_points,best_refined_min_avg_range,best_refined_momentum_lookback,best_refined_is_trades,best_refined_oos_trades,best_refined_is_pf,best_refined_oos_pf,best_refined_recent_12m_trades,best_refined_recent_12m_pf,best_refined_quality_flag,family_runtime_seconds
trend,ES_30m_2008_2026_tradestation.csv,214372,2008-01-02 05:30:00,2026-03-17 22:00:00,FilterBasedTrendStrategy,995,672,7,PROMOTED,ComboTrend_Pullback_RecoveryTrigger_Volatility_Momentum_TwoBarUp_TrendSlope,1.05,29.05,10283.5,354,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",210,144,0.61,1.35,31,1.95,REGIME_DEPENDENT,True,2880,RefinedTrend_HB24_ATR1.25_VOL0.8_MOM20,1.19,161.36,112627.0,698,24,1.25,0.8,20,386,312,0.68,1.52,53,2.01,REGIME_DEPENDENT,3887.15
breakout,ES_30m_2008_2026_tradestation.csv,214372,2008-01-02 05:30:00,2026-03-17 22:00:00,FilterBasedBreakoutStrategy,135,582,8,PROMOTED,ComboBreakout_Compression_RangeBreakout_ExpansionBar_BreakoutTrend_TightRange,0.0,0.0,0.0,0,"CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutTrendFilter,TightRangeFilter","CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutTrendFilter,TightRangeFilter",0,0,0.0,0.0,0,0.0,NO_TRADES,True,378,RefinedBreakout_HB6_ATR0.5_COMP0.8_MOM0,1.15,218.42,45650.0,209,6,0.5,0.8,0,96,113,0.98,1.23,21,1.53,REGIME_DEPENDENT,1074.95
mean_reversion,ES_30m_2008_2026_tradestation.csv,214372,2008-01-02 05:30:00,2026-03-17 22:00:00,FilterBasedMRStrategy,1,792,13,PROMOTED,ComboMR_DistanceBelowSMA_TwoBarDown_ReversalUpBar,1.57,591.91,34330.5,58,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter","DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",23,35,0.55,1.99,13,2.46,REGIME_DEPENDENT,True,576,RefinedMR_HB20_ATR0.4_DIST1.4_MOM0,2.11,3064.52,386129.0,126,20,0.4,1.4,0,71,55,2.4,1.94,15,3.13,ROBUST,1585.31
