Date,Time,Open,High,Low,Close,Tick volume
2012.01.16,00:00:00,1290.9,1291.1,1289.1,1289.6,34
2012.01.16,00:05:00,1289.9,1289.9,1289.4,1289.6,19
2012.01.16,00:10:00,1289.5,1289.6,1288.6,1289.1,15
2012.01.16,00:15:00,1289.3,1289.4,1288.4,1288.4,20
2012.01.16,00:20:00,1288.6,1289.3,1288.4,1289.3,25
2012.01.16,00:25:00,1289.1,1289.4,1288.6,1288.6,12
2012.01.16,00:30:00,1288.4,1288.9,1288.4,1288.9,10
2012.01.16,00:35:00,1289.1,1289.1,1288.4,1288.4,14
2012.01.16,00:40:00,1288.5,1288.6,1288.4,1288.6,7
2012.01.16,00:45:00,1288.9,1288.9,1288.4,1288.4,18
2012.01.16,00:50:00,1288.6,1288.6,1288.4,1288.4,10
2012.01.16,00:55:00,1288.1,1288.4,1288.1,1288.1,8
2012.01.16,01:00:00,1287.9,1288.4,1287.6,1287.6,22
2012.01.16,01:05:00,1287.9,1288.1,1287.6,1288.1,18
2012.01.16,01:10:00,1287.9,1288.4,1287.9,1287.9,14
2012.01.16,01:15:00,1287.6,1288.1,1287.6,1287.6,14
2012.01.16,01:20:00,1287.4,1287.6,1287.1,1287.4,25
2012.01.16,01:25:00,1287.1,1287.4,1286.9,1286.9,13
2012.01.16,01:30:00,1286.6,1287.1,1286.6,1287,9
2012.01.16,01:35:00,1286.9,1287.1,1286.6,1286.6,14
2012.01.16,01:40:00,1286.5,1287.1,1286.4,1286.9,15
2012.01.16,01:45:00,1286.6,1287.4,1286.6,1287.1,18
2012.01.16,01:50:00,1287.4,1287.4,1286.6,1286.9,27
2012.01.16,01:55:00,1287,1287.4,1286.9,1287.4,25
2012.01.16,02:00:00,1287.6,1287.6,1287.4,1287.4,2
2012.01.16,02:05:00,1287.1,1287.4,1286.9,1287.1,5
2012.01.16,02:10:00,1286.9,1287.1,1286.9,1286.9,7
2012.01.16,02:15:00,1286.6,1286.9,1286.6,1286.9,4
2012.01.16,02:20:00,1287.1,1287.1,1286.9,1287.1,5
2012.01.16,02:25:00,1287.4,1287.4,1287.1,1287.4,5
2012.01.16,02:30:00,1287.1,1287.1,1286.9,1286.9,4
2012.01.16,02:35:00,1286.6,1286.9,1286.6,1286.6,6
2012.01.16,02:40:00,1286.9,1286.9,1286.6,1286.6,9
2012.01.16,02:45:00,1286.9,1287.4,1286.6,1287.4,13
2012.01.16,02:50:00,1287.1,1287.4,1286.9,1287.4,4
2012.01.16,02:55:00,1287.1,1287.4,1286.9,1287.1,12
2012.01.16,03:00:00,1286.9,1287.1,1286.9,1287.1,2
2012.01.16,03:05:00,1286.9,1287.1,1286.9,1287.1,2
2012.01.16,03:10:00,1287.6,1288.4,1287.4,1288.4,8
2012.01.16,03:15:00,1288.1,1288.4,1288.1,1288.4,2
2012.01.16,03:20:00,1288.3,1288.4,1288.1,1288.1,4
2012.01.16,03:25:00,1287.9,1287.9,1287.9,1287.9,1
2012.01.16,03:30:00,1288.1,1288.1,1287.4,1287.6,11
2012.01.16,03:35:00,1287.5,1287.6,1287.1,1287.4,10
2012.01.16,03:40:00,1287.6,1287.6,1287.4,1287.6,3
2012.01.16,03:45:00,1287.9,1287.9,1287.1,1287.1,10
2012.01.16,03:50:00,1287.4,1287.6,1287.1,1287.1,8
2012.01.16,03:55:00,1287.4,1287.4,1287.1,1287.1,6
2012.01.16,04:00:00,1286.9,1286.9,1286.9,1286.9,1
