Date,Time,Open,High,Low,Close,Tick volume
2012.01.16,00:00:00,1290.9,1291.1,1288.1,1288.1,192
2012.01.16,01:00:00,1287.9,1288.4,1286.4,1287.4,214
2012.01.16,02:00:00,1287.6,1287.6,1286.6,1287.1,76
2012.01.16,03:00:00,1286.9,1288.4,1286.9,1287.1,67
2012.01.16,04:00:00,1286.9,1287.1,1286.1,1286.1,102
2012.01.16,05:00:00,1286.3,1287.9,1286.1,1287.1,70
2012.01.16,06:00:00,1286.9,1287.9,1286.4,1287.4,60
2012.01.16,07:00:00,1287.1,1289.1,1286.6,1287.1,146
2012.01.16,08:00:00,1286.9,1292.6,1285.9,1292.1,759
2012.01.16,09:00:00,1292.4,1292.9,1289.1,1289.8,566
2012.01.16,10:00:00,1289.6,1291.1,1287.1,1290.1,617
2012.01.16,11:00:00,1289.9,1292.9,1289.6,1291.6,418
2012.01.16,12:00:00,1291.9,1293.1,1290.4,1291.1,357
2012.01.16,13:00:00,1291.4,1292.1,1290.9,1291.6,265
2012.01.16,14:00:00,1291.9,1293.1,1290.6,1292.9,187
2012.01.16,15:00:00,1293.1,1294.1,1291.9,1293.9,201
2012.01.16,16:00:00,1293.6,1296.9,1293.6,1295.4,81
2012.01.16,23:00:00,1294.6,1295.6,1293.1,1295.6,75
2012.01.18,00:00:00,1296.4,1296.4,1294.9,1295.1,83
2012.01.18,01:00:00,1294.9,1295.9,1294.6,1294.9,118
2012.01.18,02:00:00,1294.6,1295.1,1294.4,1295.1,97
2012.01.18,03:00:00,1295.4,1297.6,1294.9,1297.4,83
2012.01.18,04:00:00,1297.6,1298.6,1297.4,1298.1,74
2012.01.18,05:00:00,1298.4,1298.4,1296.9,1297.1,58
2012.01.18,06:00:00,1297.4,1297.4,1294.6,1295.6,95
2012.01.18,07:00:00,1295.9,1297.9,1295.4,1297.1,125
2012.01.18,08:00:00,1297.4,1297.4,1291.6,1294.1,637
2012.01.18,09:00:00,1294,1297.1,1293.4,1295.4,627
2012.01.18,10:00:00,1295.6,1302.6,1295.1,1298.9,548
2012.01.18,11:00:00,1299.1,1299.4,1297.6,1299.4,299
2012.01.18,12:00:00,1299.6,1299.6,1295.1,1296.6,354
2012.01.18,13:00:00,1296.9,1298.1,1293.1,1293.1,433
2012.01.18,14:00:00,1292.9,1299.1,1291.1,1298.4,604
2012.01.18,15:00:00,1298.6,1303.1,1298.4,1301.4,464
2012.01.18,16:00:00,1301.6,1302.4,1299.1,1300.1,360
2012.01.18,17:00:00,1300.4,1305.4,1300.1,1304.9,268
2012.01.18,18:00:00,1305.1,1305.9,1302.9,1303.1,186
2012.01.18,19:00:00,1303.4,1306.6,1303.4,1305.6,214
2012.01.18,20:00:00,1305.9,1308.9,1305.6,1308.1,290
2012.01.18,21:00:00,1307.6,1308.4,1306.9,1307.5,88
2012.01.18,22:00:00,1307.4,1307.6,1306.9,1307.4,30
2012.01.18,23:00:00,1308.1,1308.4,1307.4,1307.6,47
2012.01.19,16:00:00,1312.16,1314.85,1311.99,1314.42,243
2012.01.19,17:00:00,1314.41,1315.24,1312.68,1312.78,497
2012.01.19,18:00:00,1312.78,1315.49,1312.63,1314.73,546
2012.01.19,19:00:00,1314.72,1315.22,1312.87,1313.25,559
2012.01.19,20:00:00,1313.24,1314.54,1311.8,1313.79,577
2012.01.19,21:00:00,1313.95,1314.52,1312.63,1314.5,221
2012.01.20,00:00:00,1314.1,1314.4,1313.6,1314.1,118
