strategy_name,hold_bars,stop_distance_points,min_avg_range,momentum_lookback,total_trades,trades_per_year,passes_trade_filter,reject_reason,net_pnl,gross_profit,gross_loss,average_trade,profit_factor,max_drawdown,win_rate,average_mae_points,average_mfe_points,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,strategy_type,combo_filters,combo_filter_class_names
RefinedTrend_HB16_ATR2.5_VOL0.0_MOM16,16,2.5,0.0,16,710,39.00248157617687,True,ACCEPT,12528.5,235001.5,-222473.0,17.65,1.06,-31457.5,50.0,-10.49,10.87,413,297,0.69,1.29,50,1.36,REGIME_DEPENDENT,0.4796,0.4737,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB30_ATR2.0_VOL0.0_MOM10,30,2.0,0.0,10,715,39.27714693938938,True,ACCEPT,7030.0,465823.0,-458793.0,9.83,1.02,-47831.0,48.11,-11.95,13.25,409,306,0.77,1.17,51,1.52,MARGINAL_BORDERLINE,0.5195,0.4211,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB16_ATR2.0_VOL0.0_MOM0,16,2.0,0.0,0,722,39.6616784478869,True,ACCEPT,7006.0,399298.5,-392292.5,9.7,1.02,-58898.0,48.34,-10.05,10.59,414,308,0.7,1.24,52,1.41,REGIME_DEPENDENT,0.4709,0.3684,6,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB16_ATR2.0_VOL0.0_MOM16,16,2.0,0.0,16,722,39.6616784478869,True,ACCEPT,7006.0,399298.5,-392292.5,9.7,1.02,-58898.0,48.34,-10.05,10.59,414,308,0.7,1.24,52,1.41,REGIME_DEPENDENT,0.4709,0.3684,6,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB24_ATR1.0_VOL0.0_MOM0,24,1.0,0.0,0,738,40.540607610166944,True,ACCEPT,5558.0,866533.5,-860975.5,7.53,1.01,-86958.0,41.33,-9.01,11.32,401,337,0.82,1.13,62,0.95,MARGINAL_BORDERLINE,0.4882,0.3684,4,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB24_ATR1.0_VOL0.0_MOM16,24,1.0,0.0,16,738,40.540607610166944,True,ACCEPT,5558.0,866533.5,-860975.5,7.53,1.01,-86958.0,41.33,-9.01,11.32,401,337,0.82,1.13,62,0.95,MARGINAL_BORDERLINE,0.4882,0.3684,4,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB12_ATR1.5_VOL0.0_MOM20,12,1.5,0.0,20,764,41.96886749887201,True,ACCEPT,5490.5,393896.0,-388405.5,7.19,1.01,-90065.0,43.06,-8.58,9.02,441,323,0.54,1.42,53,1.67,REGIME_DEPENDENT,0.457,0.4211,6,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB16_ATR2.5_VOL0.0_MOM10,16,2.5,0.0,10,775,42.57313129793954,True,ACCEPT,5063.0,230706.0,-225643.0,6.53,1.02,-37549.0,49.81,-10.23,10.37,454,321,0.59,1.3,56,1.28,REGIME_DEPENDENT,0.4465,0.4211,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB30_ATR0.75_VOL0.0_MOM20,30,0.75,0.0,20,752,41.30967062716198,True,ACCEPT,4890.0,835983.0,-831093.0,6.5,1.01,-110147.5,35.11,-8.29,10.86,411,341,0.73,1.26,55,1.55,REGIME_DEPENDENT,0.5196,0.5789,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB10_ATR1.25_VOL0.0_MOM20,10,1.25,0.0,20,792,43.50699353286208,True,ACCEPT,2013.5,417358.5,-415345.0,2.54,1.0,-100269.5,45.2,-7.69,8.2,452,340,0.5,1.46,54,2.39,REGIME_DEPENDENT,0.4988,0.4211,10,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
