strategy_name,hold_bars,stop_distance_points,min_avg_range,momentum_lookback,total_trades,trades_per_year,passes_trade_filter,reject_reason,net_pnl,gross_profit,gross_loss,average_trade,profit_factor,max_drawdown,win_rate,average_mae_points,average_mfe_points,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,strategy_type,combo_filters,combo_filter_class_names
RefinedBreakout_HB16_ATR0.75_COMP1.0_MOM0,16,0.75,1.0,0,2060,113.16212964355542,True,ACCEPT,-180059.0,516409.0,-696468.0,-87.41,0.74,-187819.5,38.83,-5.93,6.75,1163,897,0.62,1.02,105,1.03,MARGINAL_BORDERLINE,0.4167,0.1579,13,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB8_ATR0.75_COMP1.0_MOM0,8,0.75,1.0,0,2305,126.62073244096857,True,ACCEPT,-193998.0,430950.0,-624948.0,-84.16,0.69,-203439.5,38.18,-5.07,5.27,1319,986,0.56,1.01,110,1.36,MARGINAL_BORDERLINE,0.4244,0.1579,11,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB12_ATR0.75_COMP1.0_MOM0,12,0.75,1.0,0,2162,118.76530305309069,True,ACCEPT,-194365.5,488055.0,-682420.5,-89.9,0.72,-198493.0,38.25,-5.61,6.11,1216,946,0.61,0.97,108,0.98,MARGINAL_BORDERLINE,0.4128,0.2105,11,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB32_ATR0.5_COMP1.0_MOM0,32,0.5,1.0,0,1985,109.04214919536773,True,ACCEPT,-216498.0,565954.5,-782452.5,-109.07,0.72,-216498.0,29.67,-5.42,7.13,1069,916,0.65,0.96,112,0.54,MARGINAL_BORDERLINE,0.3896,0.2105,12,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB20_ATR0.5_COMP1.0_MOM0,20,0.5,1.0,0,2090,114.8101218228305,True,ACCEPT,-218137.5,541638.0,-759775.5,-104.37,0.71,-220171.0,31.72,-5.1,6.31,1142,948,0.63,0.96,114,0.54,MARGINAL_BORDERLINE,0.3839,0.1579,12,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB40_ATR0.5_COMP1.0_MOM0,40,0.5,1.0,0,1952,107.22935779816514,True,ACCEPT,-219170.0,619716.5,-838886.5,-112.28,0.74,-219170.0,28.53,-5.54,7.43,1052,900,0.65,0.95,111,0.45,MARGINAL_BORDERLINE,0.3874,0.1579,12,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB24_ATR0.5_COMP1.0_MOM0,24,0.5,1.0,0,2035,111.78880282749286,True,ACCEPT,-224029.0,556636.5,-780665.5,-110.09,0.71,-224029.0,31.11,-5.28,6.65,1103,932,0.65,0.92,114,0.5,MARGINAL,0.3913,0.2105,12,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB16_ATR0.5_COMP1.0_MOM0,16,0.5,1.0,0,2148,117.99624003609566,True,ACCEPT,-230666.5,521731.0,-752397.5,-107.39,0.69,-239382.0,32.03,-4.97,5.93,1182,966,0.62,0.91,115,0.48,MARGINAL,0.3868,0.2632,11,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB12_ATR0.5_COMP1.0_MOM0,12,0.5,1.0,0,2238,122.94021657392089,True,ACCEPT,-238969.0,516970.5,-755939.5,-106.78,0.68,-252173.0,33.24,-4.78,5.43,1232,1006,0.62,0.87,118,0.49,MARGINAL,0.3932,0.2105,11,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
RefinedBreakout_HB8_ATR0.5_COMP1.0_MOM0,8,0.5,1.0,0,2368,130.08151601744623,True,ACCEPT,-246269.5,448558.0,-694827.5,-104.0,0.65,-248445.0,33.61,-4.47,4.76,1327,1041,0.57,0.87,119,0.58,MARGINAL,0.3872,0.1579,12,INCONSISTENT,breakout,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,BreakoutDistanceFilter,RisingBaseFilter"
