strategy_type,dataset,rows,start,end,sanity_strategy_name,sanity_total_trades,total_combinations,promoted_candidates,promotion_status,best_combo_strategy_name,best_combo_profit_factor,best_combo_average_trade,best_combo_net_pnl,best_combo_total_trades,best_combo_filters,best_combo_filter_class_names,best_combo_is_trades,best_combo_oos_trades,best_combo_is_pf,best_combo_oos_pf,best_combo_recent_12m_trades,best_combo_recent_12m_pf,best_combo_quality_flag,refinement_ran,accepted_refinement_rows,best_refined_strategy_name,best_refined_profit_factor,best_refined_average_trade,best_refined_net_pnl,best_refined_total_trades,best_refined_hold_bars,best_refined_stop_distance_points,best_refined_min_avg_range,best_refined_momentum_lookback,best_refined_is_trades,best_refined_oos_trades,best_refined_is_pf,best_refined_oos_pf,best_refined_recent_12m_trades,best_refined_recent_12m_pf,best_refined_quality_flag,family_runtime_seconds
trend,ES_15m_2008_2026_tradestation.csv,426392,2008-01-02 05:15:00,2026-03-17 21:30:00,FilterBasedTrendStrategy,1983,672,0,NO_PROMOTED_CANDIDATES,ComboTrend_Pullback_RecoveryTrigger_Volatility_Momentum_TwoBarUp_TrendSlope,0.6,-168.0,-74257.0,442,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",266,176,0.48,0.7,35,0.87,MARGINAL,False,0,NONE,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,UNKNOWN,1475.46
breakout,ES_15m_2008_2026_tradestation.csv,426392,2008-01-02 05:15:00,2026-03-17 21:30:00,FilterBasedBreakoutStrategy,96,582,9,PROMOTED,ComboBreakout_Compression_RangeBreakout_ExpansionBar_BreakoutTrend_TightRange,0.0,0.0,0.0,0,"CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutTrendFilter,TightRangeFilter","CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutTrendFilter,TightRangeFilter",0,0,0.0,0.0,0,0.0,NO_TRADES,True,630,RefinedBreakout_HB20_ATR1.5_COMP0.8_MOM0,0.99,-3.73,-727.5,195,20,1.5,0.8,0,84,111,0.99,1.0,21,1.14,MARGINAL_BORDERLINE,3006.92
mean_reversion,ES_15m_2008_2026_tradestation.csv,426392,2008-01-02 05:15:00,2026-03-17 21:30:00,FilterBasedMRStrategy,0,792,1,PROMOTED,ComboMR_BelowFastSMA_TwoBarDown_ReversalUpBar_CloseNearLow_StretchFromLongTermSMA,1.52,276.0,1380.0,5,"BelowFastSMAFilter,TwoBarDownFilter,ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter","BelowFastSMAFilter,TwoBarDownFilter,ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter",3,2,8.84,0.76,1,1851.0,BROKEN_IN_OOS,True,144,RefinedMR_HB12_ATR1.25_DIST1.2_MOM0,1.22,174.42,35931.5,206,12,1.25,1.2,0,25,181,0.74,1.25,32,3.11,LOW_IS_SAMPLE,1907.04
