strategy_name,hold_bars,stop_distance_points,min_avg_range,momentum_lookback,total_trades,trades_per_year,passes_trade_filter,reject_reason,net_pnl,gross_profit,gross_loss,average_trade,profit_factor,max_drawdown,win_rate,average_mae_points,average_mfe_points,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,strategy_type,combo_filters,combo_filter_class_names
RefinedMR_HB20_ATR1.0_DIST1.2_MOM0,20,1.0,1.2,0,207,11.371146036998045,True,ACCEPT,-29430.0,176928.0,-206358.0,-142.17,0.86,-79460.0,39.61,-9.62,12.15,24,183,0.4,0.9,32,2.47,LOW_IS_SAMPLE,0.505,0.4706,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB40_ATR1.0_DIST1.0_MOM0,40,1.0,1.0,0,101,5.548240336892766,True,ACCEPT,-29591.5,88597.5,-118189.0,-292.99,0.75,-60656.0,36.63,-11.12,13.53,12,89,0.33,0.81,16,2.52,LOW_IS_SAMPLE,0.4918,0.4667,3,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB20_ATR1.25_DIST1.0_MOM0,20,1.25,1.0,0,101,5.548240336892766,True,ACCEPT,-30416.0,61683.0,-92099.0,-301.15,0.67,-52794.5,40.59,-11.19,12.47,12,89,0.19,0.73,16,2.0,LOW_IS_SAMPLE,0.3877,0.3333,7,INCONSISTENT,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB48_ATR1.0_DIST1.0_MOM0,48,1.0,1.0,0,101,5.548240336892766,True,ACCEPT,-30759.0,92657.5,-123416.5,-304.54,0.75,-63652.0,33.66,-11.58,14.4,12,89,0.31,0.81,16,2.7,LOW_IS_SAMPLE,0.487,0.4667,3,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB24_ATR0.4_DIST1.2_MOM0,24,0.4,1.2,0,219,12.030342908708077,True,ACCEPT,-31260.0,314868.0,-346128.0,-142.74,0.91,-143632.0,21.46,-6.89,8.91,24,195,0.56,0.96,33,2.74,LOW_IS_SAMPLE,0.5369,0.4706,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB16_ATR1.25_DIST1.0_MOM0,16,1.25,1.0,0,102,5.603173409535268,True,ACCEPT,-31353.0,56022.0,-87375.0,-307.38,0.64,-48181.5,43.14,-10.62,11.82,12,90,0.25,0.68,16,1.69,LOW_IS_SAMPLE,0.3844,0.3333,7,INCONSISTENT,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB48_ATR1.5_DIST1.2_MOM0,48,1.5,1.2,0,192,10.547149947360506,True,ACCEPT,-31446.5,173741.5,-205188.0,-163.78,0.85,-63854.0,40.62,-13.2,17.62,22,170,0.37,0.9,30,1.45,LOW_IS_SAMPLE,0.4204,0.4706,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB24_ATR1.5_DIST1.0_MOM0,24,1.5,1.0,0,100,5.493307264250263,True,ACCEPT,-32185.5,51124.0,-83309.5,-321.86,0.61,-47727.5,41.0,-12.25,13.29,12,88,0.18,0.68,16,1.64,LOW_IS_SAMPLE,0.3593,0.3333,7,INCONSISTENT,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB40_ATR1.5_DIST1.4_MOM0,40,1.5,1.4,0,163,8.954090840727929,True,ACCEPT,-32199.5,145013.5,-177213.0,-197.54,0.82,-51303.0,40.49,-13.52,18.25,13,150,0.21,0.88,30,1.16,LOW_IS_SAMPLE,0.3561,0.4,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
RefinedMR_HB48_ATR1.5_DIST1.4_MOM0,48,1.5,1.4,0,163,8.954090840727929,True,ACCEPT,-32366.0,168688.5,-201054.5,-198.56,0.84,-57073.0,37.42,-13.99,18.89,13,150,0.25,0.89,30,1.01,LOW_IS_SAMPLE,0.3559,0.4667,4,MIXED,mean_reversion,"DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter","DistanceBelowSMAFilter,ReversalUpBarFilter,LowVolatilityRegimeFilter,AboveLongTermSMAFilter,CloseNearLowFilter"
