strategy_type,dataset,promotion_status,promoted_candidates,leader_source,leader_strategy_name,accepted_final,quality_flag,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,leader_pf,leader_avg_trade,leader_net_pnl,leader_trades,leader_hold_bars,leader_stop_distance_points,leader_min_avg_range,leader_momentum_lookback,best_combo_strategy_name,best_combo_filters,best_combo_filter_class_names,best_refined_strategy_name
mean_reversion,ES_15m_2008_2026_tradestation.csv,PROMOTED,1,refined,RefinedMR_HB12_ATR1.25_DIST1.2_MOM0,True,LOW_IS_SAMPLE,25,181,0.74,1.25,32,3.11,1.22,174.42,35931.5,206,12,1.25,1.2,0,ComboMR_BelowFastSMA_TwoBarDown_ReversalUpBar_CloseNearLow_StretchFromLongTermSMA,"BelowFastSMAFilter,TwoBarDownFilter,ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter","BelowFastSMAFilter,TwoBarDownFilter,ReversalUpBarFilter,CloseNearLowFilter,StretchFromLongTermSMAFilter",RefinedMR_HB12_ATR1.25_DIST1.2_MOM0
breakout,ES_15m_2008_2026_tradestation.csv,PROMOTED,9,combo,ComboBreakout_Compression_RangeBreakout_ExpansionBar_BreakoutTrend_TightRange,False,NO_TRADES,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,ComboBreakout_Compression_RangeBreakout_ExpansionBar_BreakoutTrend_TightRange,"CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutTrendFilter,TightRangeFilter","CompressionFilter,RangeBreakoutFilter,ExpansionBarFilter,BreakoutTrendFilter,TightRangeFilter",RefinedBreakout_HB20_ATR1.5_COMP0.8_MOM0
trend,ES_15m_2008_2026_tradestation.csv,NO_PROMOTED_CANDIDATES,0,combo,ComboTrend_Pullback_RecoveryTrigger_Volatility_Momentum_TwoBarUp_TrendSlope,False,MARGINAL,266,176,0.48,0.7,35,0.87,0.6,-168.0,-74257.0,442,0,0.0,0.0,0,ComboTrend_Pullback_RecoveryTrigger_Volatility_Momentum_TwoBarUp_TrendSlope,"PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,VolatilityFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter",NONE
