strategy_type,dataset,rows,start,end,sanity_strategy_name,sanity_total_trades,total_combinations,promoted_candidates,promotion_status,best_combo_strategy_name,best_combo_profit_factor,best_combo_average_trade,best_combo_net_pnl,best_combo_total_trades,best_combo_filters,best_combo_filter_class_names,best_combo_is_trades,best_combo_oos_trades,best_combo_is_pf,best_combo_oos_pf,best_combo_recent_12m_trades,best_combo_recent_12m_pf,best_combo_quality_flag,refinement_ran,accepted_refinement_rows,best_refined_strategy_name,best_refined_profit_factor,best_refined_average_trade,best_refined_net_pnl,best_refined_total_trades,best_refined_hold_bars,best_refined_stop_distance_points,best_refined_min_avg_range,best_refined_momentum_lookback,best_refined_is_trades,best_refined_oos_trades,best_refined_is_pf,best_refined_oos_pf,best_refined_recent_12m_trades,best_refined_recent_12m_pf,best_refined_quality_flag,family_runtime_seconds
trend,ES_60m_2008_2026_tradestation.csv,107358,2008-01-02 06:00:00,2026-03-17 22:00:00,FilterBasedTrendStrategy,474,672,9,PROMOTED,ComboTrend_Pullback_RecoveryTrigger_Momentum_TwoBarUp_TrendSlope_HigherLow,0.76,-238.73,-76153.47,319,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",186,133,0.63,1.16,14,3.25,MARGINAL_BORDERLINE,True,1200,RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,1.13,206.93,58975.75,285,15,1.0,0.0,14,172,113,0.83,1.71,14,2.22,REGIME_DEPENDENT,855.14
breakout,ES_60m_2008_2026_tradestation.csv,107358,2008-01-02 06:00:00,2026-03-17 22:00:00,FilterBasedBreakoutStrategy,467,582,8,PROMOTED,ComboBreakout_Compression_ExpansionBar_BreakoutCloseStrength_TightRange,3.42,331.64,2321.5,7,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,TightRangeFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,TightRangeFilter",4,3,273.54,0.0,1,0.0,BROKEN_IN_OOS,True,546,RefinedBreakout_HB3_ATR2.0_COMP0.8_MOM0,0.82,-114.24,-20906.0,183,3,2.0,0.8,0,94,89,0.68,1.05,16,1.45,MARGINAL_BORDERLINE,701.19
mean_reversion,ES_60m_2008_2026_tradestation.csv,107358,2008-01-02 06:00:00,2026-03-17 22:00:00,FilterBasedMRStrategy,2,792,9,PROMOTED,ComboMR_DistanceBelowSMA_TwoBarDown_ReversalUpBar,1.51,506.6,34448.62,68,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter","DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",37,31,1.24,1.84,9,3.09,ROBUST_BORDERLINE,True,864,RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,1.71,1375.06,83878.44,61,12,0.5,1.2,0,42,19,1.67,1.8,5,3.38,ROBUST,976.34
