,20260319_0613_ES_60m_RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,20260319_0613_ES_60m_RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14
20260319_0613_ES_60m_RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,1.0,-0.008857518532983314
20260319_0613_ES_60m_RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,-0.008857518532983314,1.0
