strategy_type,dataset,promotion_status,promoted_candidates,leader_source,leader_strategy_name,accepted_final,quality_flag,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,leader_pf,leader_avg_trade,leader_net_pnl,leader_trades,leader_hold_bars,leader_stop_distance_points,leader_min_avg_range,leader_momentum_lookback,best_combo_strategy_name,best_combo_filters,best_combo_filter_class_names,best_refined_strategy_name
mean_reversion,ES_60m_2008_2026_tradestation.csv,PROMOTED,9,refined,RefinedMR_HB12_ATR0.5_DIST1.2_MOM0,True,ROBUST,42,19,1.67,1.8,5,3.38,1.71,1375.06,83878.44,61,12,0.5,1.2,0,ComboMR_DistanceBelowSMA_TwoBarDown_ReversalUpBar,"DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter","DistanceBelowSMAFilter,TwoBarDownFilter,ReversalUpBarFilter",RefinedMR_HB12_ATR0.5_DIST1.2_MOM0
trend,ES_60m_2008_2026_tradestation.csv,PROMOTED,9,refined,RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14,True,REGIME_DEPENDENT,172,113,0.83,1.71,14,2.22,1.13,206.93,58975.75,285,15,1.0,0.0,14,ComboTrend_Pullback_RecoveryTrigger_Momentum_TwoBarUp_TrendSlope_HigherLow,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,TwoBarUpFilter,TrendSlopeFilter,HigherLowFilter",RefinedTrend_HB15_ATR1.0_VOL0.0_MOM14
breakout,ES_60m_2008_2026_tradestation.csv,PROMOTED,8,combo,ComboBreakout_Compression_ExpansionBar_BreakoutCloseStrength_TightRange,False,BROKEN_IN_OOS,4,3,273.54,0.0,1,0.0,3.42,331.64,2321.5,7,0,0.0,0.0,0,ComboBreakout_Compression_ExpansionBar_BreakoutCloseStrength_TightRange,"CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,TightRangeFilter","CompressionFilter,ExpansionBarFilter,BreakoutCloseStrengthFilter,TightRangeFilter",RefinedBreakout_HB3_ATR2.0_COMP0.8_MOM0
